NM_001010975.1	Ant	ADP/ATP translocase
NM_001014994.1	Gpdh	glycerol-3-phosphate dehydrogenase
NM_001024697.1	Mrjp9	major royal jelly protein 9
NM_001032361.1	Fstl5	follistatin-like 5
NM_001037318.2	LOC410755	tyramine receptor-like
NM_001039968.1	LOC408985	pteropsin
NM_001040203.1	Gb15078	GB15078 protein
NM_001040204.1	Obp10	odorant binding protein 10
NM_001040205.1	Obp16	odorant binding protein 16
NM_001040206.1	Obp21	odorant binding protein 21
NM_001040207.1	Obp17	odorant binding protein 17
NM_001040220.1	Obp7	odorant binding protein 7
NM_001040221.1	Obp3	odorant binding protein 3
NM_001040223.1	Obp14	odorant binding protein 14
NM_001040224.1	Obp13	odorant binding protein 13
NM_001040225.1	Obp9	odorant binding protein 9
NM_001040226.1	Obp11	odorant binding protein 11
NM_001040227.1	Obp18	odorant binding protein 18
NM_001040229.1	Obp12	odorant binding protein 12
NM_001040230.1	AChE-2	acetylcholinesterase 2
NM_001040231.1	nanos	protein nanos
NM_001040233.1	Cyp4g11	cytochrome P450 4G11
NM_001040234.1	Cyp6as5	cytochrome P450 6AS5
NM_001040235.2	Abscam	Dscam family member AbsCAM
NM_001040236.1	AGLU2	alpha glucosidase 2
NM_001040237.1	NFRKB	nuclear factor related to kappaB binding protein
NM_001040255.1	vas	ATP-dependent RNA helicase vasa
NM_001040256.1	TpnI	troponin I
NM_001040257.1	Cyp314a1	cytochrome P450 314A1
NM_001040258.1	TpnT	troponin T, skeletal muscle
NM_001040259.1	Hbg2	alpha-glucosidase
NM_001040262.2	Pburs	bursicon subunit beta
NM_001040263.1	Cbs	cystathionine beta-synthase
NM_001040264.1	Akhr	adipokinetic hormone receptor
NM_001040265.1	LOC551604	Rh-like protein
NM_001040266.2	Br-c	broad-complex
NM_001040267.1	uzip	unzipped
NM_001040269.1	Qbp-1	Queen brain-selective protein-1
NM_001040270.1	LOC678674	venom allergen Api m 6
NM_001040277.1	Su(var)3-9	suppressor of variegation 3-9
NM_001040681.1	Tert	telomerase reverse transcriptase
NM_001042458.1	Mad	MAX dimerization protein
NM_001042460.1	Metrn	meteorin
NM_001077808.1	Ac3	adenylate cyclase 3
NM_001077809.1	GluCl	glutamate-gated chloride channel
NM_001077810.1	CSP2	chemosensory protein 2
NM_001077811.1	Hiscl1	histamine-gated chloride channel 1
NM_001077812.1	LCCH3	ligand-gated chloride channel homolog 3
NM_001077813.1	Ripk5	receptor interacting protein kinase 5
NM_001077814.1	CSP4	chemosensory protein 4
NM_001077815.1	LOC552640	ammonium transporter 1-like
NM_001077816.1	pHCl	ligand-gated ion channel pHCl
NM_001077817.1	Stg-1	stargazin related protein STG-1
NM_001077818.1	SsRbeta	signal sequence receptor beta
NM_001077819.1	CSP6	chemosensory protein 6
NM_001077820.1	CSP1	chemosensory protein 1
NM_001077821.1	5-ht7	serotonin receptor 7
NM_001077822.1	Amel_8916	cys-loop ligand-gated ion channel subunit 8916
NM_001077823.2	Glob1	globin 1
NM_001077824.1	Tbh	tyramine beta hydroxylase
NM_001077825.1	Lop2	long wavelength sensitive opsin 2
NM_001078661.1	LOC751767	chemosensory protein 5
NM_001079560.1	nAChRb1	nicotinic acetylcholine receptor beta1 subunit
NM_001079561.1	nAChRa3	nicotinic acetylcholine receptor alpha3 subunit
NM_001080094.2	LOC411672	neuropeptides capa receptor-like protein
NM_001080095.1	nAChRa6	nicotinic acetylcholine receptor alpha6 subunit
NM_001080110.1	E75	ecdysone-induced protein 75
NM_001080205.1	Stip	Sip1/TFIP11 interacting protein
NM_001083630.1	Cry2	cryptochrome 2
NM_001085344.1	Apd-3	apidermin 3
NM_001085345.1	Apd-1	apidermin 1
NM_001085346.1	Apd-2	apidermin 2
NM_001097154.2	Tpi	triosephosphate isomerase
NM_001098167.1	PRF	profilin
NM_001098214.1	Adar	adenosine deaminase acting on RNA
NM_001098215.2	Ecr	ecdysone receptor
NM_001098217.1	Y-h	yellow-h
NM_001098218.1	LOC726755	pyrokinin-like receptor 2
NM_001098219.1	LOC551621	leucine rich repeat G protein coupled receptor
NM_001098220.1	nAChRa1	nicotinic acetylcholine receptor alpha1 subunit
NM_001098221.1	nAChRa4	nicotinic acetylcholine receptor alpha4 subunit
NM_001098223.1	Y-y	yellow-y
NM_001098224.2	nAChRa9	nicotinic acetylcholine receptor alpha9 subunit
NM_001098228.1	Y-e3	yellow-e3
NM_001098229.1	nAChRb2	nicotinic acetylcholine receptor beta2 subunit
NM_001098232.1	LOC726393	capa receptor-like GPCR
NM_001098234.1	Burs	bursicon subunit alpha
NM_001098717.1	Hex70c	hexamerin 70c
NM_001101023.1	Hex110	hexamerin 110
NM_001104949.1	Foxp	FoxP protein
NM_001110712.2	Pban	pheromone biosynthesis-activating neuropeptide
NM_001110764.1	Hex70a	hexamerin 70a
NM_001111255.1	Dsx	doublesex
NM_001112670.1	LOC724886	uncharacterized LOC724886
NM_001112671.1	LOC410795	trehalase
NM_001112672.2	LOC551408	uncharacterized LOC551408
NM_001113285.1	SIFR	SIFamide receptor
NM_001113739.1	Tret1	trehalose transporter 1
NM_001114188.1	Eyg	eyegone
NM_001114198.1	A4	apolipophorin-III-like protein
NM_001115078.1	Msx	homeobox protein Msx
NM_001123013.2	Dcr-1	endoribonuclease Dicer-1
NM_001126243.1	LOC410337	venom dipeptidylpeptidase IV
NM_001126244.1	Est-6	venom carboxylesterase-6
NM_001131037.1	Dll	distal-less
NM_001131038.1	H	hairless
NM_001134227.1	LOC408474	apyrase
NM_001134333.1	LOC100187599	uncharacterized LOC100187599
NM_001134371.1	Nrk1	nicotinamide riboside kinase
NM_001134668.1	LOC409389	ubiquitin specific protease-like
NM_001134669.1	LOC100188904	uncharacterized LOC100188904
NM_001134722.1	LOC100188940	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4
NM_001134828.1	Fem	feminizer
NM_001134934.1	Gat-a	GABA neurotransmitter transporter-1A
NM_001134935.1	Dsx	doublesex
NM_001134936.1	Dsx	doublesex
NM_001134940.1	Pcl	polycomblike
NM_001134942.1	Rnft2	ring finger protein, transmembrane 2
NM_001134943.1	Or2	odorant receptor 2
NM_001134947.1	LOC406105	esterase A2
NM_001134948.1	Pkc	protein kinase C
NM_001134949.1	Gfat2	glucosamine-fructose-6-phosphate aminotransferase 2
NM_001134950.1	Camkii	calcium/calmodulin-dependent protein kinase II
NM_001135735.1	Cryl1	lambda crystallin-like protein
NM_001135905.1	Rpl39	ribosomal protein L39
NM_001135909.1	Rpl41	ribosomal protein L41
NM_001136187.1	LOC725609	heat shock factor binding protein 1-like
NM_001136206.1	Fibroin1	silk fibroin 1
NM_001136207.1	Fibroin2	silk fibroin 2
NM_001136208.1	Fibroin3	silk fibroin 3
NM_001136209.1	Fibroin4	silk fibroin 4
NM_001141964.1	Emc	extra macrochaetae
NM_001142436.1	LOC552484	uncharacterized LOC552484
NM_001142461.1	Tmem98	transmembrane protein 98
NM_001142561.1	Syt20	synaptotagmin 20
NM_001142607.1	Eth	ecdysis triggering hormone
NM_001142609.1	LOC726134	carboxylesterase
NM_001142637.1	Grp	glycine-rich cuticle protein
NM_001142656.2	GstS4	glutathione S-transferase S4
NM_001142693.1	LOC100217360	uncharacterized LOC100217360
NM_001143878.1	pHCl	ligand-gated ion channel pHCl
NM_001143879.1	pHCl	ligand-gated ion channel pHCl
NM_001143880.1	pHCl	ligand-gated ion channel pHCl
NM_001143921.1	Crzr	corazonin receptor
NM_001144839.1	C1q-VP	C1q-like venom protein
NM_001145735.1	Syt1	synaptotagmin 1
NM_001145736.1	NLG-3	neuroligin 3
NM_001145737.1	NLG-4	neuroligin 4
NM_001145738.1	Dat	dopamine transporter
NM_001145739.1	NLG-5	neuroligin 5
NM_001145740.1	Nrx-1	neurexin 1
NM_001159303.1	LOC410451	venom serine carboxypeptidase
NM_001159355.1	Ecr	ecdysone receptor
NM_001160048.1	Hsc70-5	heat shock protein cognate 5
NM_001160050.1	Hsc70-4	heat shock protein cognate 4
NM_001160052.1	Hsc70-3	heat shock 70 kDa protein cognate 3
NM_001160064.1	Hsp90	heat shock protein 90
NM_001160072.1	LOC410620	heat shock protein Hsp70Ab-like
NM_001160270.1	GstS1	glutathione S-transferase S1
NM_001160405.2	Calpb	calpain-B
NM_001161709.2	Smb	small ribonucleoprotein particle protein B
NM_001161787.1	LOC100302106	uncharacterized LOC100302106
NM_001161788.1	LOC100302106	uncharacterized LOC100302106
NM_001161831.1	Ndufs5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)
NM_001162398.1	Tom7	translocase of outer membrane 7
NM_001162513.1	Pten	phosphatase and tensin-like
NM_001162516.1	Err	estrogen-related receptor
NM_001163463.1	Ndufb2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2, 8kDa
NM_001163712.1	cact1	NF-kappa-B inhibitor cactus 1
NM_001163714.1	B-gluc1	beta-1,3-glucan recognition protein 1
NM_001163715.1	PGRP-S3	peptidoglycan recognition protein S3
NM_001163716.1	Pgrp-s2	peptidoglycan recognition protein S2
NM_001163717.1	Imd	immune deficiency
NM_001164008.1	LOC551571	pyrokinin-like receptor 1
NM_001164809.1	Pet117	cytochrome c oxidase assembly factor-like
NM_001164810.1	Lin-52	lin-52 protein
NM_001165904.1	Cac	cacophony
NM_001165905.1	Para	sodium channel protein paralytic
NM_001165906.1	aub	aubergine
NM_001167709.1	Apime-ASTA	allatostatin A
NM_001167720.1	NPF	neuropeptide F
NM_001167836.1	LOC409314	prohormone-2
NM_001167893.1	CPR19	cuticular protein 19
NM_001168336.1	Snf	U1 small nuclear ribonucleoprotein A
NM_001168425.1	Cdk5	cyclin-dependent kinase 5
NM_001168700.1	Ubx	ultrabithorax
NM_001170972.1	Adk1	adenylate kinase 1
NM_001170973.1	Tpx-4	thioredoxin peroxidase 4
NM_001170974.1	GlnS	glutamine synthetase
NM_001171006.1	Dl	dorsal
NM_001171051.1	Dnmt1a	DNA methyltransferase 1a
NM_001171108.1	5-HT1	serotonin receptor
NM_001171169.1	Su(var)3-9	suppressor of variegation 3-9
NM_001172378.1	Cpap3-b	cuticular protein analogous to peritrophins 3-B
NM_001172379.1	Cpap3-d	cuticular protein analogous to peritrophins 3-D
NM_001172389.1	Cpap3-c	cuticular protein analogous to peritrophins 3-C
NM_001172403.1	Cox6b1	cytochrome c oxidase subunit VIb polypeptide 1
NM_001172404.1	Ndufs1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)
NM_001172405.1	Cox6c	cytochrome c oxidase subunit VIc
NM_001172406.1	LOC725372	uncharacterized LOC725372
NM_001172718.1	LOC100379261	uncharacterized LOC100379261
NM_001174139.1	LOC726031	uncharacterized LOC726031
NM_001174140.1	LOC409002	cuticular protein
NM_001174141.1	LOC724464	cuticular protein
NM_001174142.1	LOC725089	cuticular protein
NM_001174143.1	RpL35	ribosomal protein L35
NM_001174144.1	LOC727145	apidermin-like
NM_001174145.1	apd-3	apidermin 3
NM_001177490.1	CytC	mitochondrial cytochrome C
NM_001177903.1	ILP-2	insulin-like peptide 2
NM_001178021.1	Gtpx1	glutathione peroxidase-like 1
NM_001178022.1	Gtpx1	glutathione peroxidase-like 1
NM_001178023.1	Tpx-3	thioredoxin peroxidase 3
NM_001178024.1	Tpx-3	thioredoxin peroxidase 3
NM_001178025.1	Trxr-1	thioredoxin reductase 1
NM_001178026.1	Trxr-1	thioredoxin reductase 1
NM_001178027.1	Sod1	superoxide dismutase 1
NM_001178028.1	GstD1	glutathione S-transferase D1
NM_001178047.1	MsrA	methionine sulphoxide reductase A
NM_001178048.1	Sod2	superoxide dismutase 2, mitochondrial
NM_001178067.1	Coq7	ubiquinone biosynthesis protein COQ7
NM_001178069.1	Cat	catalase
NM_001185079.1	LOC551163	LMBR1 domain-containing protein 2 homolog
NM_001185086.1	BBIP1	BBSome-interacting protein 1-like
NM_001185104.1	mRpL16	mitochondrial ribosomal protein L16
NM_001185105.1	arm	armadillo segment polarity protein
NM_001185144.1	RpLP1	ribosomal protein LP1
NM_001185145.1	Arp1	actin related protein 1
NM_001185146.1	Arp1	actin related protein 1
NM_001190421.1	Dnmt3	DNA methyltransferase 3
NM_001190814.1	Uqcr11	ubiquinol-cytochrome c reductase, complex III subunit XI
NM_001190920.1	LOC411983	putative fatty acyl-CoA reductase
NM_001190921.1	LOC412986	putative fatty acyl-CoA reductase
NM_001191048.2	Eif4g	eukaryotic translation initiation factor 4 gamma
NM_001193290.1	FAR1	fatty acyl-CoA reductase 1
NM_001202460.1	5-HT2alpha	serotonin receptor
NM_001204249.1	5-HT2beta	serotonin receptor
NM_001204751.1	Nedd9	neural precursor cell expressed, developmentally down-regulated gene 9
NM_001205062.1	CYP6AQ1	cytochrome P450 6AQ1
NM_001205223.1	RCC1	regulator of chromosome condensation 1
NM_001206466.1	Gstcd	glutathione S-transferase, C-terminal domain containing
NM_001206467.1	Jtb	jumping translocation breakpoint protein
NM_001206969.1	LOC100578482	zinc finger protein 629-like
NM_001206970.1	PIH1D1	PIH1 domain containing 1
NM_001206973.1	ACSF2	acyl-CoA synthetase family member 2
NM_001214904.1	Tpcn1	two pore segment channel 1
NM_001220486.1	Prpf3	PRP3 pre-mRNA processing factor 3 homolog
NM_001220487.1	LOC724541	peroxidase
NM_001242386.1	INTS8	integrator complex subunit 8
NM_001242387.1	LOC409697	filamin-like
NM_001242431.1	LOC552665	quinone oxidoreductase-like protein 2-like
NM_001242432.1	Tg	transglutaminase
NM_001242433.1	LOC408324	T-cell immunomodulatory protein
NM_001242434.1	LOC727144	tether containing UBX domain for GLUT4
NM_001242435.1	ecd	ecdysoneless
NM_001242436.1	STT3B	STT3, subunit of the oligosaccharyltransferase complex, homolog B
NM_001242437.1	STT3B	STT3, subunit of the oligosaccharyltransferase complex, homolog B
NM_001242440.1	WRNexo	WRN exonuclease
NM_001242441.1	LOC726239	putative lipoyltransferase 2, mitochondrial
NM_001242456.1	UHRF1	ubiquitin-like with PHD and ring finger domains 1
NM_001242457.1	CUTA	cutA divalent cation tolerance homolog
NM_001242458.1	MARCH6	membrane-associated ring finger (C3HC4) 6
NM_001242465.1	LOC409699	26S proteasome non-ATPase regulatory subunit 1-like
NM_001242467.1	Chmp1	chromatin modifying protein 1
NM_001242468.1	KAT2A	K(lysine) acetyltransferase 2A
NM_001242469.1	Rps14	ribosomal protein S14
NM_001242470.1	Kr-h1	kruppel homolog 1
NM_001242513.1	PDHB	pyruvate dehydrogenase (lipoamide) beta
NM_001242514.1	Cdc37	cell division cycle 37 homolog
NM_001242515.1	Brd7	bromodomain containing 7
NM_001242516.1	Brd7	bromodomain containing 7
NM_001242517.1	Ing3	inhibitor of growth family, member 3
NM_001242518.1	LOC100578262	uncharacterized LOC100578262
NM_001242519.1	Ube2g1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)
NM_001242520.1	Eif3h	eukaryotic translation initiation factor 3, subunit H
NM_001242522.1	Rpn1	ribophorin I
NM_001242523.1	LOC726770	caskin-1-like
NM_001242526.1	LOC725187	putative fatty acyl-CoA reductase CG8306-like
NM_001242527.1	Vamp7	vesicle-associated membrane protein 7
NM_001242542.1	Ets97D-like	Ets at 97D ortholog
NM_001242544.1	Ppib	peptidylprolyl isomerase B (cyclophilin B)
NM_001242554.1	Rfwd3	ring finger and WD repeat domain 3
NM_001242555.1	Slc35b1	solute carrier family 35, member B1
NM_001242556.1	egh	beta-1,4-mannosyltransferase egh
NM_001242557.1	LOC724300	uncharacterized LOC724300
NM_001242574.1	osp	outspread
NM_001242576.1	LOC726880	pancreatic lipase-related protein 2-like
NM_001242577.1	Sergef	secretion regulating guanine nucleotide exchange factor
NM_001242578.1	LOC411721	uncharacterized LOC411721
NM_001242579.1	LOC551434	selenium-binding protein 1-like
NM_001242656.1	ATP5G2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)
NM_001242657.1	ATP5G2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)
NM_001242958.1	Or4	odorant receptor 4
NM_001242959.1	Or5	odorant receptor 5
NM_001242960.1	Or9	odorant receptor 9
NM_001242961.1	Or10	odorant receptor 10
NM_001242962.1	Or11	odorant receptor 11
NM_001242963.1	Or12	odorant receptor 12
NM_001242964.1	Or13	odorant receptor 13
NM_001242965.1	Or14	odorant receptor 14
NM_001242966.1	Or19	odorant receptor 19
NM_001242967.1	Or25	odorant receptor 25
NM_001242968.1	Or26	odorant receptor 26
NM_001242969.1	Or27	odorant receptor 27
NM_001242970.1	Or30	odorant receptor 30
NM_001242971.1	Or35	odorant receptor 35
NM_001242972.1	Or37	odorant receptor 37
NM_001242973.1	Or41	odorant receptor 41
NM_001242975.1	Or50	odorant receptor 50
NM_001242976.1	Or51	odorant receptor 51
NM_001242977.1	Or52	odorant receptor 52
NM_001242978.1	Or53	odorant receptor 53
NM_001242979.1	Or55	odorant receptor 55
NM_001242980.1	Or56	odorant receptor 56
NM_001242981.1	Or57	odorant receptor 57
NM_001242982.1	Or58	odorant receptor 58
NM_001242983.1	SPG11	spatacsin
NM_001242984.1	Or63	odorant receptor 63
NM_001242985.1	Or98	odorant receptor 98
NM_001242986.1	Or105	odorant receptor 105
NM_001242987.1	Or107	odorant receptor 107
NM_001242988.1	Or109	odorant receptor 109
NM_001242989.1	Or115	odorant receptor 115
NM_001242990.1	Or131	odorant receptor 131
NM_001242991.1	Or130	odorant receptor 130
NM_001242993.1	Or170	odorant receptor 170
NM_001242994.1	Gr10	gustatory receptor 10
NM_001242997.1	CTL5	C-type lectin 5
NM_001242998.1	LOC411317	CG1567-like
NM_001242999.1	LOC100642173	uncharacterized LOC100642173
NM_001246251.1	LOC100578542	FMRFamide
NM_001246667.1	InR-2	insulin-like receptor-like
NM_001252019.1	LOC100820634	potassium voltage-gated channel protein eag-like
NM_001252424.1	Kr	krueppel
NM_001252426.1	Hb	hunchback
NM_001252428.1	eve	segmentation protein even-skipped
NM_001252430.1	cad	homeotic protein caudal
NM_001252432.1	otd2	homeotic protein ocelliless
NM_001256032.1	Reck	reversion-inducing-cysteine-rich protein with kazal motifs
NM_001256034.1	Nipped-B	nipped-B protein
NM_001256035.1	LOC724290	uncharacterized LOC724290
NM_001256037.1	PHRF1	PHD and ring finger domains 1
NM_001256038.1	LOC100578205	uncharacterized LOC100578205
NM_001256039.1	brp	bruchpilot
NM_001256040.1	LOC100859932	uncharacterized LOC100859932
NM_001265585.1	tra2	transformer-2 sex-determining protein
NM_001270813.1	CPR14	cuticular protein 14
NM_001270814.1	CPR22	cuticular protein 22
NM_001270815.1	CPR21	cuticular protein 21
NM_001270817.1	CPR1	cuticular protein 1
NM_001270818.1	CPR2	cuticular protein 2
NM_001270819.1	CPR3	cuticular protein 3
NM_001270820.1	CPR4	cuticular protein 4
NM_001270821.1	CPR5	cuticular protein 5
NM_001270822.1	CPR6	cuticular protein 6
NM_001270823.1	CPR11	cuticular protein 11
NM_001270824.1	CPR12	cuticular protein 12
NM_001270825.1	CPR13	cuticular protein 13
NM_001270826.1	CPR16	cuticular protein 16
NM_001270827.1	CPR17	cuticular protein 17
NM_001270828.1	CPR18	cuticular protein 18
NM_001270829.1	CPR27	cuticular protein 27
NM_001270830.1	CPR28	cuticular protein 28
NM_001270831.1	CPF1	cuticular protein CPF1
NM_001270832.1	CPF2	cuticular protein CPF2
NM_001270833.1	CPF2	cuticular protein CPF2
NM_001276427.1	DHRS4	dehydrogenase/reductase (SDR family) member 4
NM_001277299.1	LOC410331	transcription elongation factor SPT6-like
NM_001277300.1	LOC552738	2-hydroxyacyl-CoA lyase 1-like
NM_001277301.1	LOC408316	uncharacterized LOC408316
NM_001278325.1	LOC726294	orcokinin peptides
NM_001278326.1	Syx1A	syntaxin 1A
NM_001278327.1	Rga	regulator of gene activity protein
NM_001278328.1	LOC551635	uncharacterized LOC551635
NM_001278329.1	rtGEF	rho-type guanine exchange factor
NM_001278330.1	Rep	Rab escort protein
NM_001278331.1	LOC412643	uncharacterized LOC412643
NM_001278332.1	LOC551304	selenoprotein K-like
NM_001278333.1	LOC100577883	cytochrome P450 4aa1-like
NM_001278334.1	LOC101664701	PI-PLC X domain-containing protein 1-like
NM_001278335.1	ROCK2	Rho-associated, coiled-coil containing protein kinase 2
NM_001278336.1	LOC551420	protein O-mannosyltransferase 1-like
NM_001278337.1	LOC101664702	PI-PLC X domain-containing protein 1-like
NM_001278338.1	LOC100576447	DNA damage-regulated autophagy modulator protein 2-like
NM_001278679.1	LOC413108	pre-mRNA-processing factor 40 homolog A-like
NM_001278680.1	LOC552232	ADP-ribosylation factor-like protein 2-binding protein-like
NM_001278681.1	LOC100578439	chascon-like
NM_001278705.1	LOC552716	metallophosphoesterase 1 homolog
NM_001278706.1	LOC725821	uncharacterized LOC725821
NM_001278707.1	LOC552729	neuroguidin-A-like
NM_001289441.1	LOC413527	neuromedin-U receptor 1-like
NM_001305884.1	Grd	GABA-gated ion channel
NM_001314079.1	LOC550684	protein unc-50 homolog
NM_001318482.1	TpnCIIIa	troponin C type IIIa
NM_001319268.1	LOC100577376	voltage-dependent calcium channel subunit alpha-2/delta-3-like
NM_001319269.1	LOC726419	beta-1,3-galactosyltransferase
NR_003565.1	Kakusei	kakusei non-coding nuclear RNA
NR_003566.1	Ancr-1	AncR-1 non-coding nuclear RNA
NR_003567.1	Ks-1	Ks-1 non-coding nuclear RNA
NR_024131.1	Dsx	doublesex
NR_031508.1	bantam	microRNA bantam
NR_031509.1	Mir12	microRNA 12
NR_031510.1	Mir124	microRNA 124
NR_031511.1	Mir125	microRNA 125
NR_031512.1	Mir133	microRNA 133
NR_031513.1	Mir184	microRNA 184
NR_031514.1	Mir210	microRNA 210
NR_031515.1	Mir219	microRNA 219
NR_031516.1	Mir263a	microRNA 263a
NR_031517.1	Mir276	microRNA 276
NR_031518.1	Mir277	microRNA 277
NR_031519.1	Mir278	microRNA 278
NR_031520.1	Mir281	microRNA 281
NR_031521.1	Mir282	microRNA 282
NR_031522.1	Mir2-1	microRNA 2-1
NR_031523.1	Mir2-2	microRNA 2-2
NR_031524.1	Mir305	microRNA 305
NR_031525.1	Mir315	microRNA 315
NR_031526.1	Mir317	microRNA 317
NR_031527.1	Mir7	microRNA 7
NR_031528.1	Mir8	microRNA 8
NR_031529.1	Mir9a	microRNA 9a
NR_031530.1	Mir9b	microRNA 9b
NR_031531.1	Miriab-4	microRNA iab-4
NR_034280.1	Mir1-1	microRNA 1-1
NR_034281.1	Mirlet7	microRNA let-7
NR_034282.1	Mir10	microRNA 10
NR_034283.1	Mir100	microRNA 100
NR_034284.1	Mir137	microRNA 137
NR_034285.1	Mir13a	microRNA 13a
